clan;year;session;location;landmark_id;utme;utmn
serenas;2022;S116000;d;Mars_Den;723417;9840596
serenas;2022;S116001;o;Mars_Den;723417;9840596
serenas;2022;S116002;d;Saito's_Den;725054;9840520
serenas;2022;S116004;k;Effing_A_Crossing;723310;9840395
serenas;2022;S116005;o;Effing_A_Crossing;723203;9840439
serenas;2022;S116007;d;Saito's_Den_2;724929;9840470
serenas;2022;S116008;o;Bizence;725431;9839984
serenas;2022;S116009;o;Go_Here;725885;9840303
serenas;2022;S116010;o;Bizence;724988;9840114
serenas;2022;S116014;d;Saito's_Den_2;724929;9840470
serenas;2022;S116015;o;Bizence;725080;9839953
serenas;2022;S116016;o;Bizence;725090;9839811
serenas;2022;S116017;o;Lonely_Tube;725158;9841224
serenas;2022;S116020;d;Saito's_Den_2;724929;9840470
serenas;2022;S116021;d;Saito's_Den;724983;9840358
serenas;2022;S116022;n;HONR_Natal_Den;724063;9841128
serenas;2022;S116024;o;Effing_A_Crossing;723310;9840395
serenas;2022;S116025;o;Western_Front;723804;9840094
serenas;2022;S116027;o;South_Sign;725221;9844458
serenas;2022;S116029;d;Saito's_Den_2;724929;9840470
serenas;2022;S116031;o;Bizence;725354;9840111
serenas;2022;S116032;o;Bizence;725076;9839951
serenas;2022;S116033;o;Bizence;725073;9839898
serenas;2022;S116034;o;Bizence;725426;9839983
serenas;2022;S116035;d;Saito's_Den_2;724929;9840470
